Country,Happiness score,Whisker-high,Whisker-low, GDP per capita, Social support,Healthy life expectancy,Freedom to make life choices, Generosity,Perceptions of corruption,Dystopia (1.85) + residual,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education
Thailand,6.424,6.509,6.339,1.128,1.426,0.647,0.58,0.572,0.032,2.04,68.51,82.12,74.12,49.28,94.99,85.01,86.76,61.73,94.86,66.87,67.31,67.45,37.3,72.02,37.51,50.3
Togo,3.495,3.594,3.396,0.305,0.432,0.247,0.38,0.197,0.096,1.837,48.21,49.4,55.86,39.37,78.44,19.68,31.84,67.65,64.63,52.3,53.77,52.73,46.98,51.37,47.65,11.49
Tunisia,4.805,4.884,4.726,1.007,0.868,0.613,0.29,0.05,0.087,1.89,71.09,84,77.26,51.99,97.54,89.22,77.51,71.73,91.41,74.24,72.72,70.68,71.74,62.6,36.92,36.71
Turkey,5.5,5.595,5.405,1.198,1.338,0.638,0.301,0.047,0.1,1.879,68.68,85.16,74.95,45.94,98.38,98.34,79.31,64.61,94.9,66.94,76.77,61.18,35.69,56.13,41.5,50.43
Uganda,4.081,4.196,3.966,0.381,1.13,0.218,0.443,0.326,0.057,1.526,49.59,52.5,57.17,39.11,73.94,36.78,36.58,62.68,68,48.55,54.92,57.21,41.77,47.99,36.93,29.77
Ukraine,4.096,4.185,4.007,0.895,1.395,0.576,0.123,0.27,0.023,0.814,68.35,79.91,68.62,56.53,98.47,89.12,74.74,57.32,97.52,73.84,52.73,50.37,62.99,53.56,40.52,69.07
United Kingdom,6.714,6.784,6.644,1.442,1.496,0.805,0.508,0.493,0.265,1.704,88.73,92.96,90.28,82.96,99.11,99.74,87.53,85.45,98.46,89.61,81.16,91.88,90.76,87.31,69.49,84.26
United States,6.993,7.075,6.911,1.546,1.42,0.774,0.506,0.393,0.136,2.218,86.43,93.42,84.19,81.68,98.96,98.77,89.18,86.76,97.95,84.63,75.88,78.31,88.98,79.88,68.3,89.55
Uruguay,6.454,6.546,6.362,1.218,1.412,0.719,0.579,0.175,0.178,2.172,80.09,87.22,76.51,76.54,97.86,95.8,81.21,74.02,92.49,84.52,67.92,61.09,89.54,81.29,80.18,55.17
Uzbekistan,5.971,6.066,5.876,0.786,1.549,0.498,0.658,0.416,0.247,1.817,62.02,82.58,61.34,42.12,94.76,76.79,88.08,70.7,98.04,52.06,60.06,35.22,5.31,68,55.78,39.39
Yemen,3.593,3.693,3.493,0.592,0.935,0.31,0.249,0.104,0.057,1.346,43.46,54.24,52.03,24.11,78.31,43.73,45.72,49.22,64.66,43.2,53.42,46.85,26.64,41.2,23.28,5.31
Zimbabwe,3.875,3.979,3.771,0.376,1.083,0.197,0.336,0.189,0.095,1.598,50.1,51.31,60.78,38.21,63.66,44.62,42.66,54.28,81.6,56.95,49.44,55.15,26.09,56.31,43.77,26.66
